origin_iata,dest_iata,passengers,departures,year_min,year_max
YVR,YQZ,50000,1000,,
YWL,YQZ,50000,1000,,
YXS,YYC,50000,1000,,
YYC,YXS,50000,1000,,
YBC,YYY,50000,1000,,
YDF,YYR,50000,1000,,
YDF,YYT,50000,1000,,
YEG,YQR,50000,1000,,
YEG,YQU,50000,1000,,
YEG,YUL,50000,1000,,
YEG,YXE,50000,1000,,
YHZ,YUL,50000,1000,,
YKA,YYC,50000,1000,,
YLW,YYC,50000,1000,,
YMM,YYC,50000,1000,,
YQR,YEG,50000,1000,,
YQR,YVR,50000,1000,,
YQR,YWG,50000,1000,,
YQR,YYC,50000,1000,,
YQU,YEG,50000,1000,,
YQU,YYC,50000,1000,,
YUL,YEG,50000,1000,,
YUL,YHZ,50000,1000,,
YUL,YVO,50000,1000,,
YUL,YVR,50000,1000,,
YUL,YWG,50000,1000,,
YUL,YYC,50000,1000,,
YUL,YZV,50000,1000,,
YUY,YVO,50000,1000,,
YVO,YUL,50000,1000,,
YVO,YUY,50000,1000,,
YVR,YQR,50000,1000,,
YVR,YUL,50000,1000,,
YVR,YWG,50000,1000,,
YVR,YXE,50000,1000,,
YVR,YXJ,50000,1000,,
YVR,YXS,50000,1000,,
YVR,YYD,50000,1000,,
YWG,YQR,50000,1000,,
YWG,YQT,50000,1000,,
YWG,YVR,50000,1000,,
YWG,YXE,50000,1000,,
YWG,YYC,50000,1000,,
YWK,YYR,50000,1000,,
YXE,YEG,50000,1000,,
YXE,YVR,50000,1000,,
YXE,YWG,50000,1000,,
YXE,YYC,50000,1000,,
YXJ,YVR,50000,1000,,
YXS,YVR,50000,1000,,
YYC,YKA,50000,1000,,
YYC,YLW,50000,1000,,
YYC,YMM,50000,1000,,
YYC,YQR,50000,1000,,
YYC,YQU,50000,1000,,
YYC,YUL,50000,1000,,
YYC,YWG,50000,1000,,
YYC,YXE,50000,1000,,
YYC,YYJ,50000,1000,,
YYD,YVR,50000,1000,,
YYJ,YYC,50000,1000,,
YYR,YDF,50000,1000,,
YYR,YWK,50000,1000,,
YYR,YYT,50000,1000,,
YYT,YDF,50000,1000,,
YYT,YYR,50000,1000,,
YYY,YBC,50000,1000,,
YZV,YUL,50000,1000,,
AKN,ANC,50000,1000,,
ANC,AKN,50000,1000,,
ANC,CDB,50000,1000,,
ANC,DLG,50000,1000,,
ANC,MCG,50000,1000,,
ANC,SNP,50000,1000,,
ANI,MCG,50000,1000,,
CDB,ANC,50000,1000,,
DLG,ANC,50000,1000,,
MCG,ANC,50000,1000,,
MCG,ANI,50000,1000,,
SNP,ANC,50000,1000,,
YFO,YQD,50000,1000,,
YQD,YFO,50000,1000,,
YQD,YWG,50000,1000,,
YQT,YXL,50000,1000,,
YRL,YXL,50000,1000,,
YWG,YFO,50000,1000,,
YWG,YQD,50000,1000,,
YXL,YQT,50000,1000,,
YXL,YRL,50000,1000,,
YBC,YQB,50000,1000,,
YGV,YZV,50000,1000,,
YQB,YBC,50000,1000,,
YYY,YZV,50000,1000,,
YZV,YGV,50000,1000,,
YZV,YYY,50000,1000,,
YNA,YZV,50000,1000,,
YZV,YNA,50000,1000,,
YGL,YGW,25000,500,,
YGL,YUL,25000,500,,
YGW,YGL,25000,500,,
YGW,YUL,25000,500,,
YGW,YUY,25000,500,,
YKL,YQB,25000,500,,
YKL,YVP,25000,500,,
YKL,YZV,25000,500,,
YQB,YKL,25000,500,,
YUL,YGL,25000,500,,
YUL,YGW,25000,500,,
YUY,YGW,25000,500,,
YVP,YGW,25000,500,,
YVP,YKL,25000,500,,
YZV,YKL,25000,500,,
MCG,NIB,25000,500,,
NIB,MCG,25000,500,,
YEG,YXY,25000,500,,
YLW,YXY,25000,500,,
YXY,YLW,25000,500,,
YXY,YYC,25000,500,,
YXY,YZF,25000,500,,
YZF,YXY,25000,500,,
CIK,FAI,25000,500,,
CIK,FYU,25000,500,,
CXF,AKP,25000,500,,
FAI,CIK,25000,500,,
FAI,SVS,25000,500,,
FYU,CIK,25000,500,,
SVS,FAI,25000,500,,
YFB,YVP,25000,500,,
YHY,YZF,25000,500,,
YUL,YVP,25000,500,,
YVP,YFB,25000,500,,
YVP,YUL,25000,500,,
YZF,YHY,25000,500,,
GAL,FAI,25000,500,,
HCR,ANI,25000,500,,
KYU,GAL,25000,500,,
SCC,FAI,25000,500,,
OME,TNC,25000,500,,
QBC,YVR,25000,500,,
YLW,YXC,25000,500,,
YVR,QBC,25000,500,,
YVR,YZT,25000,500,,
YVR,ZMT,25000,500,,
YXC,YLW,25000,500,,
YZT,YVR,25000,500,,
ZMT,YVR,25000,500,,
AET,FAI,25000,500,,
FAI,AET,25000,500,,
FAI,AKP,25000,500,,
FAI,KBC,25000,500,,
FYU,VEE,25000,500,,
KBC,FYU,25000,500,,
KYU,FAI,25000,500,,
VEE,FYU,25000,500,,
YDQ,YVR,25000,500,,
YDQ,YYE,25000,500,,
YEG,YOJ,25000,500,,
YEG,YOP,25000,500,,
YEG,YXJ,25000,500,,
YKA,YXS,25000,500,,
YLL,YYC,25000,500,,
YLW,YXS,25000,500,,
YOJ,YEG,25000,500,,
YOJ,YOP,25000,500,,
YOP,YEG,25000,500,,
YOP,YOJ,25000,500,,
YVR,YDQ,25000,500,,
YXJ,YEG,25000,500,,
YXJ,YXS,25000,500,,
YXJ,YYE,25000,500,,
YXS,YKA,25000,500,,
YXS,YLW,25000,500,,
YXS,YXJ,25000,500,,
YXS,YXT,25000,500,,
YXS,YYD,25000,500,,
YXS,YYE,25000,500,,
YXT,YXS,25000,500,,
YYC,YLL,25000,500,,
YYD,YXS,25000,500,,
YYE,YDQ,25000,500,,
YYE,YXJ,25000,500,,
YYE,YXS,25000,500,,
YBC,YUL,25000,500,,
YBG,YUL,25000,500,,
YCD,YVR,25000,500,,
YCG,YVR,25000,500,,
YCG,YYC,25000,500,,
YDF,YHZ,25000,500,,
YFC,YHZ,25000,500,,
YFC,YUL,25000,500,,
YGP,YGR,25000,500,,
YGP,YQB,25000,500,,
YGR,YGP,25000,500,,
YHZ,YDF,25000,500,,
YHZ,YFC,25000,500,,
YHZ,YQM,25000,500,,
YHZ,YQX,25000,500,,
YHZ,YQY,25000,500,,
YHZ,YSJ,25000,500,,
YHZ,YYG,25000,500,,
YHZ,YYR,25000,500,,
YMM,YVR,25000,500,,
YQB,YGP,25000,500,,
YQF,YYC,25000,500,,
YQL,YYC,25000,500,,
YQM,YHZ,25000,500,,
YQM,YUL,25000,500,,
YQX,YHZ,25000,500,,
YQX,YYR,25000,500,,
YQX,YYT,25000,500,,
YQY,YHZ,25000,500,,
YSJ,YHZ,25000,500,,
YSJ,YUL,25000,500,,
YUL,YBC,25000,500,,
YUL,YBG,25000,500,,
YUL,YFC,25000,500,,
YUL,YQM,25000,500,,
YUL,YSJ,25000,500,,
YUL,YYG,25000,500,,
YUL,YYT,25000,500,,
YUL,YYY,25000,500,,
YUL,ZBF,25000,500,,
YVR,YCD,25000,500,,
YVR,YCG,25000,500,,
YVR,YMM,25000,500,,
YVR,YYF,25000,500,,
YVR,YZP,25000,500,,
YXC,YYC,25000,500,,
YXH,YYC,25000,500,,
YYC,YCG,25000,500,,
YYC,YQF,25000,500,,
YYC,YQL,25000,500,,
YYC,YXC,25000,500,,
YYC,YXH,25000,500,,
YYC,YZF,25000,500,,
YYF,YVR,25000,500,,
YYG,YHZ,25000,500,,
YYG,YUL,25000,500,,
YYR,YHZ,25000,500,,
YYR,YQX,25000,500,,
YYT,YQX,25000,500,,
YYT,YUL,25000,500,,
YYY,YUL,25000,500,,
YZF,YYC,25000,500,,
YZP,YVR,25000,500,,
ZBF,YUL,25000,500,,
ADK,ANC,25000,500,,
ANC,ADK,25000,500,,
ANC,BRW,25000,500,,
ANC,OME,25000,500,,
ANC,OTZ,25000,500,,
ANC,SCC,25000,500,,
BRW,ANC,25000,500,,
BRW,FAI,25000,500,,
BRW,SCC,25000,500,,
CDV,YAK,25000,500,,
OME,ANC,25000,500,,
OTZ,ANC,25000,500,,
PSG,WRG,25000,500,,
SCC,ANC,25000,500,,
SCC,BRW,25000,500,,
WRG,PSG,25000,500,,
YAK,CDV,25000,500,,
YXT,YYD,25000,500,,
YYD,YXT,25000,500,,
KEF,YEG,25000,500,,
YEG,KEF,25000,500,,
GOH,KEF,25000,500,,
GOH,UAK,25000,500,,
JJU,UAK,25000,500,,
KEF,GOH,25000,500,,
UAK,GOH,25000,500,,
UAK,JJU,25000,500,,
AKN,DLG,25000,500,,
DLG,AKN,25000,500,,
YEG,YHY,25000,500,,
YEG,YSM,25000,500,,
YHY,YEG,25000,500,,
YHY,YSM,25000,500,,
YLW,YQF,25000,500,,
YMM,YPY,25000,500,,
YMM,YQF,25000,500,,
YPY,YMM,25000,500,,
YPY,YSM,25000,500,,
YQF,YLW,25000,500,,
YQF,YMM,25000,500,,
YSM,YEG,25000,500,,
YSM,YHY,25000,500,,
YSM,YPY,25000,500,,
YSM,YZF,25000,500,,
YZF,YSM,25000,500,,
YAG,YQK,25000,500,,
YAG,YQT,25000,500,,
YHD,YQK,25000,500,,
YHD,YQT,25000,500,,
YHD,YRL,25000,500,,
YHD,YXL,25000,500,,
YQK,YAG,25000,500,,
YQK,YHD,25000,500,,
YQK,YWG,25000,500,,
YQT,YAG,25000,500,,
YQT,YTS,25000,500,,
YRL,YHD,25000,500,,
YRL,YWG,25000,500,,
YSB,YQT,25000,500,,
YSB,YTS,25000,500,,
YSB,YYB,25000,500,,
YTS,YSB,25000,500,,
YTS,YYU,25000,500,,
YWG,YQK,25000,500,,
YWG,YRL,25000,500,,
YXL,YAG,25000,500,,
YXL,YHD,25000,500,,
YYB,YSB,25000,500,,
YYU,YQT,25000,500,,
YYU,YTS,25000,500,,
ANC,ILI,25000,500,,
ILI,ANC,25000,500,,
YFO,YTH,25000,500,,
YFO,YWG,25000,500,,
YGX,YTH,25000,500,,
YGX,YWG,25000,500,,
YQD,YTH,25000,500,,
YRT,YTH,25000,500,,
YTH,YFO,25000,500,,
YTH,YGX,25000,500,,
YTH,YQD,25000,500,,
YTH,YWG,25000,500,,
YWG,YGX,25000,500,,
YWG,YTH,25000,500,,
YBC,YWK,25000,500,,
YBG,YHU,25000,500,,
YBG,YQB,25000,500,,
YBG,YZV,25000,500,,
YGR,YQB,25000,500,,
YGR,YVB,25000,500,,
YHU,YBG,25000,500,,
YHU,YQB,25000,500,,
YHU,YVO,25000,500,,
YHU,YZV,25000,500,,
YQB,YGR,25000,500,,
YQB,YHU,25000,500,,
YQB,YVB,25000,500,,
YQB,YWK,25000,500,,
YQB,YYY,25000,500,,
YVB,YGR,25000,500,,
YVB,YYY,25000,500,,
YVB,ZBF,25000,500,,
YVO,YHU,25000,500,,
YWK,YBC,25000,500,,
YWK,YBG,25000,500,,
YWK,YVB,25000,500,,
YYY,YQB,25000,500,,
YYY,YVB,25000,500,,
YZV,YBG,25000,500,,
YZV,YHU,25000,500,,
YAY,YBX,25000,500,,
YAY,YYR,25000,500,,
YAY,YYT,25000,500,,
YBX,YAY,25000,500,,
YBX,YYR,25000,500,,
YCL,YHZ,25000,500,,
YCL,YWK,25000,500,,
YHZ,YCL,25000,500,,
YJT,YDF,25000,500,,
YUL,YWK,25000,500,,
YWK,YCL,25000,500,,
YWK,YUL,25000,500,,
YWK,ZUM,25000,500,,
YYR,YAY,25000,500,,
YYR,YBX,25000,500,,
YYR,ZUM,25000,500,,
YYT,YAY,25000,500,,
YYT,YJT,25000,500,,
ZUM,YWK,25000,500,,
ZUM,YYR,25000,500,,
YGV,YPN,25000,500,,
YPN,YGV,25000,500,,
YPN,YZV,25000,500,,
YWK,YYY,25000,500,,
YYY,YWK,25000,500,,
YZV,YPN,25000,500,,
YBX,YIF,25000,500,,
YIF,YBX,25000,500,,
YBR,YYC,25000,500,,
YCD,YYC,25000,500,,
YEG,YLW,25000,500,,
YEG,YQQ,25000,500,,
YEG,YYJ,25000,500,,
YHZ,YYC,25000,500,,
YLW,YEG,25000,500,,
YLW,YYJ,25000,500,,
YQQ,YEG,25000,500,,
YQQ,YYC,25000,500,,
YXJ,YYC,25000,500,,
YYC,YBR,25000,500,,
YYC,YCD,25000,500,,
YYC,YHZ,25000,500,,
YYC,YQQ,25000,500,,
YYC,YXJ,25000,500,,
YYJ,YEG,25000,500,,
YYJ,YLW,25000,500,,
YPL,YQT,25000,500,,
YMT,YNS,25000,500,,
YMT,YUL,25000,500,,
YNS,YMT,25000,500,,
YUL,YMT,25000,500,,
